date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:47	64/64	---M--	200	added ('OK')	font/woff2	etag:%2261cd4c35-40%22	https://lordsociety.co/fonts/Satoshi-Medium.woff2	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/Satoshi-Medium.woff2	(from https://lordsociety.co/fonts.css)
20:04:47	33272/33272	---M--	200	added ('OK')	font/woff	etag:%2261cd4c35-81f8%22	https://lordsociety.co/fonts/Satoshi-Medium.woff	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/Satoshi-Medium.woff	(from https://lordsociety.co/fonts.css)
20:04:48	73756/73756	---M-Z	200	added ('OK')	application/x-font-ttf	etag:W/%2261cd4c35-1201c%22	https://lordsociety.co/fonts/Satoshi-Medium.ttf	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/Satoshi-Medium.ttf	(from https://lordsociety.co/fonts.css)
20:04:48	587/587	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24b%22	https://lordsociety.co/fonts/satoshi-bolditalic.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-bolditalic.html	(from https://lordsociety.co/fonts.css)
20:04:49	591/591	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24f%22	https://lordsociety.co/fonts/satoshi-bolditalic-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-bolditalic-2.html	(from https://lordsociety.co/fonts.css)
20:04:50	591/591	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24f%22	https://lordsociety.co/fonts/satoshi-bolditalic-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-bolditalic-3.html	(from https://lordsociety.co/fonts.css)
20:04:50	62/62	---M--	200	added ('OK')	font/woff2	etag:%2261cd4c35-3e%22	https://lordsociety.co/fonts/Satoshi-Bold.woff2	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/Satoshi-Bold.woff2	(from https://lordsociety.co/fonts.css)
20:04:51	32972/32972	---M--	200	added ('OK')	font/woff	etag:%2261cd4c35-80cc%22	https://lordsociety.co/fonts/Satoshi-Bold.woff	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/Satoshi-Bold.woff	(from https://lordsociety.co/fonts.css)
20:04:51	73368/73368	---M-Z	200	added ('OK')	application/x-font-ttf	etag:W/%2261cd4c35-11e98%22	https://lordsociety.co/fonts/Satoshi-Bold.ttf	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/Satoshi-Bold.ttf	(from https://lordsociety.co/fonts.css)
20:04:52	589/589	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24d%22	https://lordsociety.co/fonts/satoshi-blackitalic.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-blackitalic.html	(from https://lordsociety.co/fonts.css)
20:04:52	593/593	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-251%22	https://lordsociety.co/fonts/satoshi-blackitalic-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-blackitalic-2.html	(from https://lordsociety.co/fonts.css)
20:04:53	593/593	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-251%22	https://lordsociety.co/fonts/satoshi-blackitalic-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-blackitalic-3.html	(from https://lordsociety.co/fonts.css)
